ID,CLAVE12,DESCRIPCION,UNIDAD,CANTI,TIPO,caracteristicas,redfrio,fecreg
3788,0608201380,Prótesis. Prótesis para conducto biliar. Estéril y desechable. Tipo: Zimmon. Longitud: 4 cm Calibre: 7 Fr. Pieza.,,,,generico,SI,28/02/2020
3789,0608201398,Prótesis. Prótesis para conducto biliar. Estéril y desechable. Tipo: Zimmon. Longitud: 7 cm Calibre: 7 Fr. Pieza.,,,,generico,SI,28/02/2020
3790,0608201406,Prótesis. Prótesis para conducto biliar. Estéril y desechable. Tipo: Zimmon. Longitud: 10 cm Calibre: 7 Fr. Pieza.,,,,generico,SI,28/02/2020
3791,0608201414,Prótesis. Prótesis para conducto biliar. Estéril y desechable. Tipo: Soehendra Tannenbaum calibre 8.5 Fr. Longitud: 5 cm. Pieza.,,,,generico,SI,28/02/2020
3792,0608201422,Prótesis. Prótesis para conducto biliar. Estéril y desechable. Tipo: Soehendra Tannenbaum calibre 8.5 Fr. Longitud: 6 cm. Pieza.,,,,generico,SI,28/02/2020
3793,0608201430,Prótesis. Prótesis para conducto biliar. Estéril y desechable. Tipo: Soehendra Tannenbaum calibre 8.5 Fr. Longitud: 7 cm. Pieza.,,,,generico,SI,28/02/2020
3794,0608201448,Prótesis. Prótesis para conducto biliar. Estéril y desechable. Tipo: Soehendra Tannenbaum calibre 8.5 Fr. Longitud: 8 cm. Pieza.,,,,generico,SI,28/02/2020
3795,0608201513,Prótesis. Prótesis para conducto biliar. Estéril y desechable. Tipo: Soehendra Tannenbaum calibre 8.5 Fr. Longitud: 9 cm. Pieza.,,,,generico,SI,28/02/2020
3796,0608250114,Prótesis. Prótesis para conducto biliar. Estéril y desechable. Tipo: Soehendra Tannenbaum calibre 8.5 Fr. Longitud: 10 cm. Pieza.,,,,generico,SI,28/02/2020
3797,0608250122,Prótesis. Prótesis para conducto biliar. Estéril y desechable. Tipo: Soehendra Tannenbaum calibre 8.5 Fr. Longitud: 11 cm. Pieza.,,,,generico,SI,28/02/2020
3798,0608250130,Prótesis. Prótesis para conducto biliar. Estéril y desechable. Tipo: Soehendra Tannenbaum calibre 8.5 Fr. Longitud: 12 cm. Pieza.,,,,generico,SI,28/02/2020
3799,0608250148,Prótesis. Prótesis para conducto biliar. Estéril y desechable. Tipo: Soehendra Tannenbaum calibre 8.5 Fr. Longitud: 15 cm. Pieza.,,,,generico,SI,28/02/2020
3800,0608270013,Prótesis. Prótesis para conducto pancreático. Tipo: Geenen. Estéril y desechable. Longitud: 3 cm Calibre:5 Fr. Pieza.,,,,generico,SI,28/02/2020
3801,0608270021,Prótesis. Prótesis para conducto pancreático. Tipo: Geenen. Estéril y desechable. Longitud: 5 cm Calibre:5 Fr. Pieza.,,,,generico,SI,28/02/2020
3802,0608300265,Prótesis. Prótesis para conducto pancreático. Tipo: Geenen. Estéril y desechable. Longitud: 7 cm Calibre:5 Fr. Pieza.,,,,generico,SI,28/02/2020
3803,0608300273,Prótesis. Prótesis para conducto pancreático. Tipo: Geenen. Estéril y desechable. Longitud: 9 cm Calibre:5 Fr. Pieza.,,,,generico,SI,28/02/2020
3804,0608300307,Prótesis. Prótesis para conducto pancreático. Tipo: Geenen. Estéril y desechable. Longitud: 12 cm Calibre:5 Fr. Pieza.,ENV,1,PZA,generico,SI,28/02/2020
3805,0608300380,Prótesis. Prótesis para conducto pancreático. Tipo: Geenen. Estéril y desechable. Longitud: 3 cm Calibre: 7 Fr. Pieza.,,,,generico,SI,28/02/2020
3806,0608307070,Prótesis. Prótesis para conducto pancreático. Tipo: Geenen. Estéril y desechable. Longitud: 5 cm Calibre: 7 Fr. Pieza.,ENV,1,PZA,generico,SI,28/02/2020
3807,0608307088,Prótesis. Prótesis para conducto pancreático. Tipo: Geenen. Estéril y desechable. Longitud: 7 cm Calibre: 7 Fr. Pieza.,ENV,1,PZA,generico,SI,28/02/2020
3808,0608307096,Prótesis. Prótesis para conducto pancreático. Tipo: Geenen. Estéril y desechable. Longitud: 9 cm Calibre: 7 Fr. Pieza.,ENV,1,PZA,generico,SI,28/02/2020
3809,0608307104,Prótesis. Prótesis para conducto pancreático. Tipo: Geenen. Estéril y desechable. Longitud: 12 cm Calibre: 7 Fr. Pieza.,ENV,1,PZA,generico,SI,28/02/2020
3810,0608307112,Prótesis. Prótesis para conducto biliar. Estéril y desechable. Longitud: 5 cm Calibre: 7.0 Fr.Pieza.,ENV,1,PZA,generico,SI,28/02/2020
3811,0608307120,Prótesis. Prótesis para conducto biliar. Estéril y desechable. Longitud: 7 cm Calibre: 7.0 Fr.Pieza.,ENV,1,PZA,generico,SI,28/02/2020
3812,0608307138,Prótesis. Prótesis para conducto biliar. Estéril y desechable. Longitud: 9 cm Calibre: 7.0 Fr.Pieza.,ENV,1,PZA,generico,SI,28/02/2020
3813,0608307146,Prótesis. Prótesis para conducto biliar. Estéril y desechable. Longitud: 12 cm Calibre: 7.0 Fr.Pieza.,ENV,1,PZA,generico,SI,28/02/2020
3814,0608307153,Prótesis. Prótesis para conducto biliar. Estéril y desechable. Longitud: 15 cm Calibre: 7.0 Fr.Pieza.,ENV,1,PZA,generico,SI,28/02/2020
3815,0608307179,Prótesis. Prótesis para conducto biliar. Estéril y desechable. Longitud: 5 cm Calibre: 8.5 Fr. Pieza.,ENV,1,PZA,generico,SI,28/02/2020
3816,0608307187,Prótesis. Prótesis para conducto biliar. Estéril y desechable. Longitud: 7 cm Calibre: 8.5 Fr. Pieza.,ENV,1,PZA,generico,SI,28/02/2020
3817,0608307195,Prótesis. Prótesis para conducto biliar. Estéril y desechable. Longitud: 9 cm Calibre: 8.5 Fr. Pieza.,ENV,1,PZA,generico,SI,28/02/2020
3818,0608307237,Prótesis. Prótesis para conducto biliar. Estéril y desechable. Longitud: 12 cm Calibre: 8.5 Fr. Pieza.,ENV,1,PZA,generico,SI,28/02/2020
3819,0608307245,Prótesis. Prótesis para conducto biliar. Estéril y desechable. Longitud: 15 cm Calibre: 8.5 Fr. Pieza.,ENV,1,PZA,generico,SI,28/02/2020
3820,0608307252,Prótesis. Prótesis para conducto biliar. Estéril y desechable. Longitud: 5 cm Calibre: 10.0 Fr. Pieza.,ENV,1,PZA,generico,SI,28/02/2020
3821,0608307260,Prótesis. Prótesis para conducto biliar. Estéril y desechable. Longitud: 9 cm Calibre: 10.0 Fr. Pieza.,ENV,1,PZA,generico,SI,28/02/2020
3822,0608330015,Prótesis para miembro toracico. Todos los componentes deben ser compatibles entre si. La seleccion de las medidas estara a cargo de las unidades de atencion de acuerdo a sus necesidades. Para hombro. Cabeza humeral de cromo-cobalto o cromo-cobalto-molibdeno de 40 mm a 56 mm de diámetro. Altura: de 12.0 mm a 21.0 mm. Incluye medidas intermedias entre las especificadas. Pieza.,ENV,1,PZA,generico,SI,28/02/2020
3823,0608330098,Prótesis para miembro toracico. Todos los componentes deben ser compatibles entre si. La seleccion de las medidas estara a cargo de las unidades de atencion de acuerdo a sus necesidades. Para hombro. Componente humeral cementado o no cementado. Con diámetro distal de 6 mm a 14 mm y longitud de 110 mm a 220 mm Incluyen medidas intermedias entre las especificadas. Pieza.,ENV,3000,ML.,generico,SI,28/02/2020
3824,0608330171,Prótesis de cadera cementada de cromo-cobalto con o sin molibdeno acero cromo o acero inoxidable al alto nitrógeno. Todos los componentes deben ser compatibles entre sí. Incluye dimensiones intermedias entre las especificadas. Acetábulo de polietileno de ultra alto peso molecular con enlaces cruzados por multiirradiación con ceja de 10 a 20 grados alambre radiopaco ecuatorial y/o polar de forma semiesférica con diámetro interno de 22 mm ó 28 mm estéril. Diámetro externo de: 36.0 mm a 60.0 mm. Incluye medidas intermedias entre las especificadas. Pieza.,ENV,1,PZA,generico,SI,28/02/2020
3825,0608330189,Prótesis de cadera cementada de cromo-cobalto con o sin molibdeno acero cromo o acero inoxidable al alto nitrógeno. Todos los componentes deben ser compatibles entre sí. Incluye dimensiones intermedias entre las especificadas. Componentes acetabulares. Compatibles con la cabeza y el vástago femoral. Acetábulo de polietileno de ultra alto peso molecular con enlaces cruzados por multiirradiación con ceja de 10 a 20 grados alambre radiopaco ecuatorial y/o polar de forma semiesférica con diámetro interno de 32 mm estéril. Diámetro externo de: 44.0 mm a 60.0 mm. Incluye medidas intermedias entre las especificadas. Pieza.,ENV,5,ML.,generico,SI,28/02/2020
3826,0608330197,Prótesis de cadera cementada de cromo-cobalto con o sin molibdeno acero cromo o acero inoxidable al alto nitrógeno. Todos los componentes deben ser compatibles entre sí. Incluye dimensiones intermedias entre las especificadas. Componente femoral modular de diferentes perfiles con centralizador y ángulo variable con o sin collar cono 12-14. Ancho de: 6.0 mm a 20.0 mm. Incluye medidas intermedias entre las especificadas. Pieza.,ENV,1,FCO,generico,SI,28/02/2020
3827,0608330254,Prótesis de cadera cementada de cromo-cobalto con o sin molibdeno acero cromo o acero inoxidable al alto nitrógeno. Todos los componentes deben ser compatibles entre sí. Incluye dimensiones intermedias entre las especificadas. Anillos. Anillo de reforzamiento de techo cotiloideo con gancho distal. Para los sistemas que lo requieran. Diámetro externo de: 42.0 mm a 60.0 mm. Incluye medidas intermedias entre las especificadas. Pieza.,ENV,1,EST,generico,SI,28/02/2020
3828,0608330270,Prótesis de cadera cementada de cromo-cobalto con o sin molibdeno acero cromo o acero inoxidable al alto nitrógeno. Todos los componentes deben ser compatibles entre sí. Incluye dimensiones intermedias entre las especificadas. Anillos. Anillo para reconstrucción acetabular anatómico atornillado con gancho distal y aleta para anclaje al ilíaco de acero inoxidable o titanio. Diámetro externo de: 46.0 mm a 65.0 mm. Incluye medidas intermedias entre las especificadas. Para los sistemas que lo requieran. La selección del material estará a cargo de las unidades de atención de acuerdo a sus necesidades. Pieza.,ENV,500,ML.,generico,SI,28/02/2020
3829,0608330288,Prótesis de cadera no cementada en aleación de titanio con o sin recubrimiento osteointegrador. Todos los componentes deben ser compatibles entre sí. Incluye dimensiones intermedias entre las especificadas. La selección de las medidas estará a cargo de las unidades de atención de acuerdo a sus necesidades. Componentes acetabulares con base metálica de titanio con recubrimiento poroso y encaje a presión con tetones o tornillos centrales que incluya tornillos accesorio e insertos de 22 mm ó 28 mm de diámetro interno. Diámetro externo: de 44.0 mm a 71.0 mm. Incluye medidas intermedias entre las especificadas. Pieza.,ENV,1,TBO,generico,SI,28/02/2020
3830,0608330296,Prótesis de cadera para revisión cementada o no cementada. Todos los componentes deben ser compatibles entre si. Incluye dimensiones intermedias entre las especificadas. La selección del material y las medidas estara a cargo de las unidades de atención de acuerdo a sus necesidades. Componentes femorales. Vástago para revisión de 180 mm a 260 mm de longitud con cono 12-14. Diámetro de: 7.0 mm a 20.0 mm. Incluye medidas intermedias entre las especificadas. Pieza,,,,generico,SI,28/02/2020
3831,0608330312,Prótesis tumoral. Todos los componentes deben ser compatibles entre sí. Incluye dimensiones intermedias entre las especificadas. La selección del material y las medidas estará a cargo de las unidades de atención de acuerdo a sus necesidades. Para Cadera. Cuerpo femoral proximal de cromo cobalto con orificios laterales y orificios mediales en región proximal para reinserción. Longitud de 70.0 mm o de altura de reemplazo. Pieza.,ENV,1,LT,generico,SI,28/02/2020
3832,0608330320,Prótesis tumoral. Todos los componentes deben ser compatibles entre sí. Incluye dimensiones intermedias entre las especificadas. La selección del material y las medidas estará a cargo de las unidades de atención de acuerdo a sus necesidades. Prótesis de vástago femoral cementado. Tallo: de 11 mm a 16.0 mm Incluye medidas intermedias entre las especificadas. Pieza.,ENV,10,GR,generico,SI,28/02/2020
3833,0608330338,Prótesis tumoral. Todos los componentes deben ser compatibles entre si. Incluye dimensiones intermedias entre las especificadas. La seleccion del material y las medidas estara a cargo de las unidades de atencion de acuerdo a sus necesidades. Prótesis femoral modular. Tamaño: pequeña estándar grande extragrande o extra extragrande. Pieza.,,,,generico,SI,28/02/2020
3834,0608330346,Sistemas de endoprótesis para tratamiento de aneurismas. Endoprótesis abdominal bifurcada con accesorios. Estéril. Diámetro:  30 x 18 mm. Longitud: 170 mm. Pieza.,,,,generico,SI,28/02/2020
3835,0608330353,Sistemas de endoprótesis para tratamiento de aneurismas. Endoprótesis abdominal bifurcada con accesorios. Estéril. Diámetro:  32 x 14 mm. Longitud: 155 mm. Pieza.,,,,generico,SI,28/02/2020
3836,0608330361,Sistemas de endoprótesis para tratamiento de aneurismas. Endoprótesis abdominal bifurcada con accesorios. Estéril. Diámetro:  32 x 14 mm. Longitud: 170 mm. Pieza.,ENV,1,LT,generico,SI,28/02/2020
3837,0608330379,Sistemas de endoprótesis para tratamiento de aneurismas. Endoprótesis abdominal bifurcada con accesorios. Estéril. Diámetro:  32 x 16 mm. Longitud: 155 mm. Pieza.,ENV,1,PZA,generico,SI,28/02/2020
3838,0608330387,Sistemas de endoprótesis para tratamiento de aneurismas. Endoprótesis abdominal bifurcada con accesorios. Estéril. Diámetro: 32 x 16 mm. Longitud:  170 mm. Pieza.,,,,generico,SI,28/02/2020
3839,0608330395,Sistemas de endoprótesis para tratamiento de aneurismas. Endoprótesis abdominal bifurcada con accesorios. Estéril. Diámetro:  32 x 18 mm. Longitud: 155 mm. Pieza.,,,,generico,SI,28/02/2020
3840,0608330403,Sistemas de endoprótesis para tratamiento de aneurismas. Endoprótesis abdominal bifurcada con accesorios. Estéril. Diámetro:  32 x 18 mm. Longitud: 170 mm. Pieza.,ENV,1,PZA,generico,SI,28/02/2020
3841,0608330411,Sistemas de endoprótesis para tratamiento de aneurismas. Endoprótesis abdominal bifurcada con accesorios. Estéril. Diámetro:  34 x 16 mm. Longitud: 155 mm. Pieza.,,,,generico,SI,28/02/2020
3842,0608330429,Sistemas de endoprótesis para tratamiento de aneurismas. Endoprótesis abdominal bifurcada con accesorios. Estéril. Diámetro: 34 x 16 mm. Longitud:  170 mm. Pieza.,ENV,12,PZA,generico,SI,28/02/2020
3843,0608330437,Sistemas de endoprótesis para tratamiento de aneurismas. Endoprótesis abdominal bifurcada con accesorios. Estéril. Diámetro:  34 x 18 mm. Longitud: 155 mm. Pieza.,,,,generico,SI,28/02/2020
3844,0608330445,Sistemas de endoprótesis para tratamiento de aneurismas. Endoprótesis abdominal bifurcada con accesorios. Estéril. Diámetro: 34 x 18 mm. Longitud:  170 mm. Pieza.,,,,generico,SI,28/02/2020
3845,0608370011,Sistemas de endoprótesis para tratamiento de aneurismas. Endoprótesis abdominal aortounilíaca con accesorios. Estéril. Diámetro:22 x 14 mm.  Longitud:  155 mm. Pieza.,,,,generico,SI,28/02/2020
3846,0608410015,Sistemas de endoprótesis para tratamiento de aneurismas. Endoprótesis abdominal aortounilíaca con accesorios. Estéril. Diámetro:  24 x 14 mm. Longitud: 155 mm. Pieza.,ENV,1,PZA,generico,SI,28/02/2020
3847,0608410023,Sistemas de endoprótesis para tratamiento de aneurismas. Endoprótesis abdominal aortounilíaca con accesorios. Estéril. Diámetro: 26 x 14 mm. Longitud:  155 mm.,ENV,12,PZA,generico,SI,28/02/2020
3848,0608410031,Sistemas de endoprótesis para tratamiento de aneurismas. Endoprótesis abdominal aortounilíaca con accesorios. Estéril. Diámetro:  28 x 16 mm. Longitud: 170 mm.Pieza.,ENV,12,PZA,generico,SI,28/02/2020
3849,0608410049,Sistemas de endoprótesis para tratamiento de aneurismas. Endoprótesis abdominal aortounilíaca con accesorios. Estéril. Diámetro:  30 x 16 mm. Longitud: 170 mm. Pieza.,ENV,12,PZA,generico,SI,28/02/2020
3850,0608410072,Sistemas de endoprótesis para tratamiento de aneurismas. Endoprótesis abdominal aortounilíaca con accesorios. Estéril. Diámetro: 32 x 16 mm.  Longitud: 170 mm. Pieza.,ENV,12,PZA,generico,SI,28/02/2020
3851,0608410080,Sistemas de endoprótesis para tratamiento de aneurismas. Endoprótesis abdominal aortounilíaca con accesorios. Estéril. Diámetro: 34 x 16 mm. Longitud: 170 mm. Pieza.,ENV,12,PZA,generico,SI,28/02/2020
3852,0608410106,Sistema de Endoprótesis para Tratamiento de Aneurismas. Endoprótesis contralateral para abdominal bifurcada. Estéril. Diámetro: 14 x 12 mm Longitud: 105 mm. Pieza.,ENV,12,PZA,generico,SI,28/02/2020
3853,0608410114,Sistema de Endoprótesis para Tratamiento de Aneurismas. Endoprótesis contralateral para abdominal bifurcada. Estéril. Diámetro: 14 x 12 mm Longitud: 75 mm. Pieza.,ENV,12,PZA,generico,SI,28/02/2020
3854,0608410130,Sistema de Endoprótesis para Tratamiento de Aneurismas. Endoprótesis contralateral para abdominal bifurcada. Estéril. Diámetro: 14 x 12 mm Longitud: 90 mm. Pieza.,ENV,12,PZA,generico,SI,28/02/2020
3855,0608410148,Sistema de Endoprótesis para Tratamiento de Aneurismas. Endoprótesis contralateral para abdominal bifurcada. Estéril. Diámetro: 14 x 14 mm Longitud: 105 mm. Pieza.,ENV,12,PZA,generico,SI,28/02/2020
3856,0608410171,Sistema de Endoprótesis para Tratamiento de Aneurismas. Endoprótesis contralateral para abdominal bifurcada. Estéril. Diámetro: 14 x 14 mm Longitud: 75 mm. Pieza.,ENV,12,PZA,generico,SI,28/02/2020
3857,0608410188,Sistema de Endoprótesis para Tratamiento de Aneurismas. Endoprótesis contralateral para abdominal bifurcada. Estéril. Diámetro: 14 x 14 mm Longitud: 90 mm. Pieza.,ENV,12,PZA,generico,SI,28/02/2020
3858,0608410197,Sistema de Endoprótesis para Tratamiento de Aneurismas. Endoprótesis contralateral para abdominal bifurcada. Estéril. Diámetro: 14 x 16 mm Longitud: 105 mm. Pieza.,ENV,12,SBR,generico,SI,28/02/2020
3859,0608410205,Sistema de Endoprótesis para Tratamiento de Aneurismas. Endoprótesis contralateral para abdominal bifurcada. Estéril. Diámetro: 14 x 16 mm Longitud: 75 mm. Pieza.,ENV,12,PZA,generico,SI,28/02/2020
3860,0608410221,Sistema de Endoprótesis para Tratamiento de Aneurismas. Endoprótesis contralateral para abdominal bifurcada. Estéril. Diámetro: 14 x 16 mm Longitud: 90 mm. Pieza.,ENV,12,PZA,generico,SI,28/02/2020
3861,0608410239,Sistema de Endoprótesis para Tratamiento de Aneurismas. Endoprótesis contralateral para abdominal bifurcada. Estéril. Diámetro: 14 x 18 mm Longitud: 105 mm. Pieza.,ENV,12,PZA,generico,SI,28/02/2020
3862,0608410254,Sistema de Endoprótesis para Tratamiento de Aneurismas. Endoprótesis contralateral para abdominal bifurcada. Estéril. Diámetro: 14 x 18 mm Longitud: 75 mm. Pieza.,ENV,12,PZA,generico,SI,28/02/2020
3863,0608410262,Sistema de Endoprótesis para Tratamiento de Aneurismas. Endoprótesis contralateral para abdominal bifurcada. Estéril. Diámetro: 14 x 18 mm Longitud: 90 mm. Pieza.,ENV,12,PZA,generico,SI,28/02/2020
3864,0608410288,Sistema de Endoprótesis para Tratamiento de Aneurismas. Endoprótesis contralateral para abdominal bifurcada. Estéril. Diámetro: 14 x 20 mm Longitud: 105 mm. Pieza.,ENV,12,PZA,generico,SI,28/02/2020
3865,0608410296,Sistema de Endoprótesis para Tratamiento de Aneurismas. Endoprótesis contralateral para abdominal bifurcada. Estéril. Diámetro: 14 x 20 mm Longitud: 75 mm. Pieza.,ENV,12,PZA,generico,SI,28/02/2020
3866,0608410312,Sistema de Endoprótesis para Tratamiento de Aneurismas. Endoprótesis contralateral para abdominal bifurcada. Estéril. Diámetro: 14 x 20 mm Longitud: 90 mm. Pieza.,ENV,12,PZA,generico,SI,28/02/2020
