id,clave,descripcion,unidad,cantidad,tipo,caracteristicas,controlado,red frio,fecha,consejo,focales,atc,estatus
42,010000027000,Ropivacaina. Solución Inyectable Cada ampolleta contiene: Clorhidrato de ropivacaína monohidratada equivalente a 150 mg de clorhidrato de ropivacaina. Envase con 5 ampolletas con 20 ml.,ENV,5,AMP,,0,0,28/02/2020,,,,
43,010000027100,Bupivacaína. Solución Inyectable Cada ml contiene: Clorhidrato de bupivacaína 5 mg Envase con 30 ml.,ENV,30,ML,,0,0,28/02/2020,,,,
44,010000029100,Neostigmina. Solución Inyectable Cada ampolleta contiene: Metilsulfato de neostigmina 0.5 mg Envase con 6 ampolletas con 1 ml.,ENV,6,AMP,,0,0,28/02/2020,,,,
45,010000030200,Naloxona. Solución Inyectable. Cada ampolleta contiene: Clorhidrato de naloxona 0.4 mg Envase con 10 ampolletas con 1 ml.,ENV,10,AMP,,0,0,28/02/2020,,,,
46,010000040200,Clorfenamina. Tableta. Cada tableta contiene: Maleato de clorfenamina 4.0 mg Envase con 20 Tabletas.,ENV,20,TAB,,0,0,28/02/2020,,,,
47,010000040500,Difenhidramina. Jarabe. Cada 100 mililitros contienen: Clorhidrato de difenhidramina 250 mg. Envase con 60 ml.,ENV,60,ML,,0,0,28/02/2020,,,,
48,010000040600,Difenhidramina. Solución inyectable. Cada frasco ámpula contiene: Clorhidrato de difenhidramina 100 mg. Envase con frasco ámpula de 10 ml.,ENV,1,F.A.,,0,0,28/02/2020,,,,
49,010000040800,Clorfenamina. Jarabe. Cada mililitro contiene: Maleato de clorfenamina 0.5 mg Envase con 60 ml.,ENV,60,ML,,0,0,28/02/2020,,,,
50,010000042600,Aminofilina. Solución Inyectable. Cada ampolleta contiene: Aminofilina 250 mg. Envase con 5 ampolletas de 10 ml.,ENV,5,AMP,,0,0,28/02/2020,,,,
51,010000042900,Salbutamol. Suspensión en aerosol. Cada inhalador contiene: Salbutamol 20 mg o Sulfato de salbutamol equivalente a 20 mg de salbutamol Envase con inhalador con 200 dosis de 100  µg.,ENV,200,DSS,,0,0,28/02/2020,,,,
52,010000043100,Salbutamol. Jarabe Cada 5 ml contienen: Sulfato de salbutamol equivalente a 2 mg de salbutamol Envase con 60 ml.,ENV,60,ML,,0,0,28/02/2020,,,,
53,010000043200,Terbutalina. Solución Inyectable Cada ml contiene: Sulfato de terbutalina 0.25 mg Envase con 3 ampolletas.,ENV,3,AMP,,0,0,28/02/2020,,,,
54,010000043300,Terbutalina. Tableta Cada Tableta contiene: Sulfato de terbutalina 5 mg Envase con 20 Tabletas.,ENV,20,TAB,,0,0,28/02/2020,,,,
55,010000043700,Teofilina. Comprimido o Tableta o Cápsula de Liberación Prolongada Cada Comprimido Tableta o Cápsula contiene: Teofilina anhidra 100 mg Envase con 20 Comprimidos o Tabletas o Cápsulas de Liberación Prolongada.,ENV,20,TAB,,0,0,28/02/2020,,,,
56,010000043800,Terbutalina. Polvo Cada dosis contiene: Sulfato de terbutalina 0.5 mg Envase con inhalador para 200 dosis.,ENV,200,DSS,,0,0,28/02/2020,,,,
57,010000043900,Salbutamol. Solución para nebulizador. Cada 100 ml contienen: Sulfato de salbutamol 0.5 g. Envase con 10 ml.,ENV,10,ML,,0,0,28/02/2020,,,,
58,010000044000,Fluticasona. Suspensión en aerosol. Cada dosis contiene: Propionato de Fluticasona 50µg Envase con un frasco presurizado para 60 dosis,ENV,60,DSS,,0,0,28/02/2020,,,,
59,010000044100,Salmeterol. Suspensión en aerosol Cada gramo contiene: Xinafoato de salmeterol equivalente a 0.330 mg de salmeterol. Envase con inhalador con 12 g para 120 dosis de 25 µg.,ENV,120,DSS,,0,0,28/02/2020,,,,
60,010000044200,Salmeterol fluticasona. Polvo. Cada dosis contiene Xinafoato de salmeterol equivalente a 50  µg de salmeterol. Propionato de Fluticasona 100  µg. Envase con dispositivo inhalador para 60 dosis.,ENV,60,DSS,,0,0,28/02/2020,,,,
61,010000044300,"Salmeterol,  fluticasona. Suspensión en aerosol. Cada dosis contiene: Xinafoato de salmeterol equivalente a 25 µg de salmeterol. Propionato de fluticasona 50 µg. Envase con dispositivo inhalador para 120 dosis.",ENV,120,DSS,,0,0,28/02/2020,,,,
62,010000044500,Budesonida-formoterol. Polvo. Cada gramo contiene: Budesonida 90 mg. Fumarato de formoterol dihidratado 5 mg. Envase con frasco inhalador dosificador con 60 dosis con 80 µg /4.5 µg cada una.,ENV,60,DSS,Patentes,NO,NO,28/02/2020,Patentes,,,Incluido
63,010000044600,Budesonida-formoterol. Polvo. Cada gramo contiene: Budesonida 180 mg. Fumarato de formoterol dihidratado 5 mg. Envase con frasco inhalador dosificador con 60 dosis con 160 µg/4.5 µg cada una.,ENV,60,DSS,,0,0,28/02/2020,,,,
64,010000044700,Salmeterol fluticasona. Polvo.  Cada dosis contiene: Xinafoato de salmeterol equivalente a 50 µgde salmeterol Propionato de fluticasona 500 µg Envase con dispositivo inhalador para 60 dosis.,ENV,60,DSS,,0,0,28/02/2020,,,,
65,010000045000,Fluticasona. Suspensión en aerosol. Cada dosis contiene: Propionato de fluticasona 50µg. Envase con un frasco presurizado para 120 dosis.,ENV,120,DSS,,0,0,28/02/2020,,,,
66,010000046300,Ketotifeno. Solución Oral Cada 100 ml contienen: Fumarato ácido de ketotifeno equivalente a 20 mg de ketotifeno. Envase con 120 ml y dosificador.,ENV,120,ML,,0,0,28/02/2020,,,,
67,010000046400,Cromoglicato de sodio. Suspensión Aerosol Cada inhalador contienen: Cromoglicato disódico 560 mg Envase con espaciador para 112 dosis de 5 mg.,ENV,1,ENV,,0,0,28/02/2020,,,,
68,010000047200,Prednisona. Tableta Cada Tableta contiene: Prednisona 5 mg Envase con 20 Tabletas.,ENV,20,TAB,,NO,NO,28/02/2020,Metabolismo,,,Incluido
69,010000047300,Prednisona. Tableta Cada Tableta contiene: Prednisona 50 mg Envase con 20 Tabletas.,ENV,20,TAB,,NO,NO,28/02/2020,Metabolismo,,,Incluido
70,010000047400,Hidrocortisona. Solución Inyectable Cada frasco ámpula contiene: Succinato sódico de hidrocortisona equivalente a 100 mg de hidrocortisona. Envase con 50 frascos ámpula y 50 ampolletas con 2 ml de diluyente.,ENV,50,F.A.,,0,0,28/02/2020,,,,
71,010000047600,Metilprednisolona. Solución Inyectable Cada frasco ámpula con liofilizado contiene Succinato sódico de metilprednisolona equivalente a 500 mg de metilprednisolona. Envase con 50 frascos ámpula y 50 ampolletas con 8 ml de diluyente.,ENV,50,JGO,,NO,NO,28/02/2020,Metabolismo,,,Incluido
72,010000047700,Dipropionato de Beclometasona. Suspensión en aerosol. Cada inhalación contiene: Dipropionato de Beclometasona 50  µg. Envase con dispositivo inhalador para 200 dosis.,ENV,200,DSS,,0,0,28/02/2020,,,,
73,010000050200,Digoxina. Tableta. Cada tableta contiene: Digoxina 0.25 mg Envase con 20 Tabletas,ENV,20,TAB,,NO,NO,28/02/2020,Cardiovasculares,,,Incluido
74,010000050300,Digoxina. Elíxir. Cada ml contiene: Digoxina 0.05 mg Envase conteniendo 60 ml con gotero calibrado de 1 ml integrado o adjunto al frasco y le sirve de tapa,FCO,60,ML,,NO,NO,28/02/2020,Cardiovasculares,,,Incluido
75,010000050400,Digoxina. Solución Inyectable. Cada ampolleta contiene: Digoxina 0.5 mg Envase con 6 ampolletas de 2 ml.,ENV,6,AMP,,NO,NO,28/02/2020,Cardiovasculares,,,Incluido
76,010000051400,Paracetamol supositorio cada supositorio contiene: paracetamol 100 mg envase con 3 supositorios,ENV,3,SUP,,0,0,28/02/2020,,,,
77,010000051401,Paracetamol supositorio cada supositorio contiene: paracetamol 100 mg envase con 6 supositorios,ENV,6,SUP,,0,0,28/02/2020,,,,
78,010000051402,Paracetamol supositorio cada supositorio contiene: paracetamol 100 mg envase con 10 supositorios,ENV,10,SUP,,0,0,28/02/2020,,,,
79,010000052200,Lidocaína. Solución Inyectable Cada ampolleta contiene: Clorhidrato de lidocaína 100 mg Envase con 1 ampolleta de 5 ml.,ENV,1,AMP,,NO,NO,28/02/2020,Cardiovasculares,,,Incluido
80,010000052300,Sales de Potasio sales de. Tableta soluble o efervescente.  Cada tableta contiene: Bicarbonato de Potasio 766 mg. Bitartrato de Potasio 460 mg. Acido Cítrico 155 mg. Envase con 50 tabletas solubles.,ENV,50,TAB,,NO,NO,28/02/2020,Cardiovasculares,,,Incluido
81,010000052400,"Cloruro de potasio. Solución Inyectable. Cada ampolleta contiene: Cloruro de potasio 1.49 g. (20 mEq de potasio, 20 mEq de cloro) Envase con 50 ampolletas con 10 ml",ENV,50,AMP,,0,0,28/02/2020,,,,
82,010000052500,Fenitoína. Tableta o Cápsula Cada Tableta o Cápsula contiene: Fenitoína sódica 100 mg Envase con 50 Tabletas o Cápsulas.,ENV,50,T.C.,,0,0,28/02/2020,,,,
83,010000052700,Quinidina. Tableta Cada Tableta contiene: Sulfato de quinidina 200 mg Envase con 20 Tabletas.,,,,,,,28/02/2020,,,,
84,010000053000,Propranolol. Tableta Cada Tableta contiene: Clorhidrato de propranolol 40 mg Envase con 30 Tabletas,ENV,30,TAB,,NO,NO,28/02/2020,Cardiovasculares,,,Incluido
85,010000053700,Propafenona. Tableta Cada Tableta contiene: Clorhidrato de Propafenona 150 mg Envase con 20 Tabletas.,ENV,20,TAB,,NO,NO,28/02/2020,Cardiovasculares,,,Incluido
86,010000053900,Propranolol. Tableta Cada Tableta contiene: Clorhidrato de Propranolol 10 mg Envase con 30 Tabletas.,ENV,30,TAB,,NO,NO,28/02/2020,Cardiovasculares,,,Incluido
87,010000056100,Clortalidona. Tableta. Cada tableta contiene: Clortalidona 50 mg Envase con 20 Tabletas.,ENV,20,TAB,,NO,NO,28/02/2020,Cardiovasculares,,,Incluido
88,010000056600,Metildopa. Tableta Cada Tableta contiene: Metildopa 250 mg Envase con 30 Tabletas.,ENV,30,TAB,,NO,NO,28/02/2020,Cardiovasculares,,,Incluido
89,010000056800,Diazóxido. Solución inyectable. Cada ampolleta contiene: Diazóxido 300 mg Envase con una ampolleta de 20 ml. (15 mg/ml).,ENV,1,AMP,,NO,NO,28/02/2020,Cardiovasculares,,,Eliminado
90,010000056900,Nitroprusiato de sodio. Solución Inyectable Cada frasco ámpula con polvo o Solución contiene: Nitroprusiato de sodio 50 mg Envase con un frasco ámpula con o sin diluyente.,ENV,1,ENV,,NO,NO,28/02/2020,Cardiovasculares,,,Incluido
91,010000057000,Hidralazina. Tableta Cada Tableta contiene: Clorhidrato de hidralazina 10 mg Envase con 20 Tabletas.,ENV,20,TAB,,NO,NO,28/02/2020,Cardiovasculares,,,Eliminado
92,010000057200,Metoprolol. Tableta Cada Tableta contiene: Tartrato de metoprolol 100 mg Envase con 20 Tabletas.,ENV,20,TAB,,NO,NO,28/02/2020,Cardiovasculares,,,Incluido
93,010000057300,Prazosina. Cápsula o Comprimido Cada Cápsula o Comprimido contiene: Clorhidrato de prazosina equivalente a 1 mg de prazosina. Envase con 30 Cápsulas o Comprimidos.,ENV,30,C.C.,,NO,NO,28/02/2020,Cardiovasculares,,,Incluido
94,010000057400,Captopril. Tableta Cada Tableta contiene: Captopril 25 mg Envase con 30 Tabletas.,ENV,30,TAB,,NO,NO,28/02/2020,Cardiovasculares,,,Eliminado
95,010000059100,Trinitrato de glicerilo. Cápsula o Tableta Masticable Cada Cápsula o Tableta Masticable contiene: Trinitrato de glicerol 0.8 mg Envase con 24 Cápsulas o Tabletas Masticables.,ENV,24,C.T.,,NO,NO,28/02/2020,Cardiovasculares,,,Incluido
96,010000059200,Isosorbida. Tableta sublingual Cada Tableta contiene: Dinitrato de isosorbida 5 mg Envase con 20 Tabletas sublinguales.,ENV,20,TAB,,NO,NO,28/02/2020,Cardiovasculares,,,Incluido
97,010000059300,Isosorbida. Tableta Cada Tableta contiene: Dinitrato de isosorbida 10 mg Envase con 20 Tabletas.,ENV,20,TAB,,NO,NO,28/02/2020,Cardiovasculares,,,Eliminado
98,010000059600,Verapamilo. Gragea o Tableta ReCubierta Cada Gragea o Tableta ReCubierta contiene: Clorhidrato de verapamilo 80 mg Envase con 20 Grageas o Tabletas ReCubiertas.,ENV,20,T.G.,,NO,NO,28/02/2020,Cardiovasculares,,,Incluido
99,010000059700,Nifedipino. Cápsula de Gelatina blanda Cada Cápsula contiene: Nifedipino 10 mg Envase con 20 Cápsulas.,ENV,20,CAP,,NO,NO,28/02/2020,Cardiovasculares,,,Eliminado
100,010000059800,Verapamilo. Solución Inyectable Cada ampolleta contiene: Clorhidrato de verapamilo 5 mg Envase con 2 ml (2.5 mg/ml).,ENV,1,AMP,,NO,NO,28/02/2020,Cardiovasculares,,,Incluido
101,010000059900,Nifedipino. Comprimido de Liberación Prolongada Cada Comprimido contiene: Nifedipino 30 mg Envase con 30 Comprimidos.,ENV,30,COMP,,NO,NO,28/02/2020,Cardiovasculares,,,Incluido
102,010000061100,Epinefrina. Solución Inyectable Cada ampolleta contiene: Epinefrina 1 mg (1:1 000) Envase con 50 ampolletas con 1 ml.,ENV,50,AMP,,NO,NO,28/02/2020,Cardiovasculares,,,Incluido
103,010000061200,Norepinefrina. Solución Inyectable Cada ampolleta contiene: Bitartrato de norepinefrina equivalente a 4 mg de norepinefrina. Envase con 50 ampolletas de 4 ml.,ENV,50,AMP,,NO,NO,28/02/2020,Cardiovasculares,,,Incluido
104,010000061400,Dopamina. Solución Inyectable Cada ampolleta contiene: Clorhidrato de dopamina 200 mg Envase con 5 ampolletas con 5 ml.,ENV,5,AMP,,NO,NO,28/02/2020,Cardiovasculares,,,Incluido
105,010000061500,Dobutamina. Solución Inyectable. Cada frasco ámpula o ampolleta contiene: Clorhidrato de dobutamina equivalente a 250 mg de dobutamina. Envase con 5 ampolletas con 5 ml cada una.,ENV,5,AMP,,NO,NO,28/02/2020,Cardiovasculares,,,Eliminado
106,010000061501,Dobutamina. Solución Inyectable. Cada frasco ámpula o ampolleta contiene: Clorhidrato de dobutamina equivalente a 250 mg de dobutamina. Envase con un frasco ámpula con 20 ml.,ENV,1,F.A.,,NO,NO,28/02/2020,Cardiovasculares,,,Incluido
107,010000062100,Heparina. Solución Inyectable Cada frasco ámpula contiene: Heparina sódica equivalente a 10 000 UI de heparina. Envase con 50 frascos ámpula con 10 ml (1000 UI/ml),ENV,50,F.A.,,NO,NO,28/02/2020,Hematologia,,,Incluido
108,010000062200,Heparina. Solución Inyectable Cada frasco ámpula contiene: Heparina sódica equivalente a 25 000 UI de heparina. Envase con 50 frascos ámpula con 5 ml (5 000 UI/ml).,ENV,50,F.A.,,NO,NO,28/02/2020,Hematologia,,,Incluido
109,010000062300,Warfarina. Tableta Cada Tableta contiene: Warfarina sódica 5 mg Envase con 25 Tabletas.,ENV,25,TAB,,NO,NO,28/02/2020,Cardiovasculares,,,Incluido
110,010000062400,Acenocumarol. Tableta Cada Tableta contiene: Acenocumarol 4 mg. Envase con 20 tabletas.,ENV,20,TAB,,NO,NO,28/02/2020,Hematologia,,,Incluido
111,010000062401,Acenocumarol. Tableta Cada Tableta contiene: Acenocumarol 4 mg. Envase con 30 tabletas.,ENV,30,TAB,,NO,NO,28/02/2020,Hematologia,,,Incluido
112,010000062500,Protamina. Solución Inyectable Cada ampolleta de 5 mililitros contiene: Sulfato de protamina 71.5 mg Envase con ampolleta con 5 ml.,ENV,1,AMP,,0,0,28/02/2020,,,,
113,010000062600,Fitomenadiona. Solución o Emulsión Inyectable Cada ampolleta contiene: Fitomenadiona 10 mg Envase con 3 ampolletas de 1 ml.,ENV,3,AMP,,NO,NO,28/02/2020,Hematologia,,,Incluido
114,010000062601,Fitomenadiona. Solución o Emulsión Inyectable Cada ampolleta contiene: Fitomenadiona 10 mg Envase con 5 ampolletas de 1 ml.,ENV,5,AMP,,NO,NO,28/02/2020,Hematologia,,,Incluido
115,010000064100,Dextrán. Solución Inyectable al 10%. Cada 100 mililitros contienen: dextrán (40 000): 10 g Glucosa 5 g Envase con 500 ml.,ENV,500,ML,,0,0,28/02/2020,,,,
116,010000064200,Dipiridamol. Solución Inyectable. Cada ampolleta contiene: Dipiridamol 10 mg Envase con 1 ampolletas con 2 ml (5 mg/ml).,ENV,1,AMP,,NO,NO,28/02/2020,Cardiovasculares,,,Eliminado
117,010000064201,Dipiridamol. Solución Inyectable. Cada ampolleta contiene: Dipiridamol 10 mg Envase con 3 ampolletas con 2 ml (5 mg/ml).,ENV,3,AMP,,NO,NO,28/02/2020,Cardiovasculares,,,Eliminado
118,010000064202,Dipiridamol. Solución Inyectable. Cada ampolleta contiene: Dipiridamol 10 mg Envase con 5 ampolletas con 2 ml (5 mg/ml).,ENV,5,AMP,,NO,NO,28/02/2020,Cardiovasculares,,,Incluido
119,010000064203,Dipiridamol. Solución Inyectable. Cada ampolleta contiene: Dipiridamol 10 mg Envase con 10 ampolletas con 2 ml (5 mg/ml).,ENV,10,AMP,,NO,NO,28/02/2020,Cardiovasculares,,,Eliminado
120,010000065500,Bezafibrato. Tableta Cada Tableta contiene: Bezafibrato 200 mg Envase con 30 Tabletas.,ENV,30,TAB,,NO,NO,28/02/2020,Metabolismo,,,Incluido
121,010000065600,Ácido nicotínico. Tableta Cada Tableta contiene: Ácido nicotínico 500 mg Envase con 50 Tabletas.,ENV,50,TAB,,NO,NO,28/02/2020,Metabolismo,,,Eliminado
122,010000065700,Pravastatina. Tableta Cada Tableta contiene: Pravastatina sódica 10 mg Envase con 30 Tabletas.,ENV,30,TAB,,NO,NO,28/02/2020,Metabolismo,,,Eliminado
123,010000080100,Baño coloide. Polvo. Cada gramo contiene: Harina de soya 965 mg (contenido proteico 45%) Polividona 20 mg Envase con un sobre individual de 90 g.,ENV,1,SBR,,0,0,28/02/2020,,,,
124,010000080101,Baño coloide. Polvo. Cada gramo contiene: Harina de soya 965 mg (contenido proteico 45%) Polividona 20 mg Envase con dos sobres individuales de 90 g.,ENV,2,SBR,,0,0,28/02/2020,,,,
125,010000080400,Óxido de zinc. Pasta Cada 100 g contienen: Óxido de zinc 25. 0 g Envase con 30 g.,ENV,1,PZA,,0,0,28/02/2020,,,,
126,010000081100,Fluocinolona. Crema Cada g contiene: Acetónido de fluocinolona 0.1 mg Envase con 20 g.,ENV,1,TBO,,0,0,28/02/2020,,,,
127,010000081300,Hidrocortisona. Crema Cada g contiene: 17 Butirato de hidrocortisona 1 mg Envase con 15 g.,ENV,1,TBO,,0,0,28/02/2020,,,,
128,010000082200,Benzoilo. Loción Dérmica o Gel Dérmico Cada 100 mililitros o gramos contienen: Peróxido de benzoilo 5 g Envase con 30 ml,ENV,30,ML,,0,0,28/02/2020,,,,
129,010000082201,Benzoilo. Loción Dérmica o Gel Dérmico Cada 100 mililitros o gramos contienen: Peróxido de benzoilo 5 g Envase con 50 ml,ENV,50,ML,,0,0,28/02/2020,,,,
130,010000082202,Benzoilo. Loción Dérmica o Gel Dérmico Cada 100 mililitros o gramos contienen: Peróxido de benzoilo 5 g Envase con 60 g.,ENV,60,GR.,,0,0,28/02/2020,,,,
131,010000083100,Alantoina y alquitrán de hulla. Suspensión Dérmica Cada ml contiene: alantoína 20.0 mg alquitrán de hulla 9.4 mg Envase con 120 ml.,ENV,120,ML,,0,0,28/02/2020,,,,
132,010000086100,Bencilo. Emulsión Dérmica Cada ml contiene: Benzoato de bencilo 300 mg Envase con 120 ml.,ENV,120,ML,,0,0,28/02/2020,,,,
